Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
16807,120871,Female,Loyal Customer,46,Business travel,Business,1432,5,5,5,5,3,5,4,4,4,4,4,2,4,3,12,0.0,satisfied
3367811,94768,Male,disloyal Customer,33,Business travel,Business,386,1,0,1,4,1,1,1,1,4,4,4,3,4,4,0,15.0,neutral or dissatisfied
14005712,99088,Female,Loyal Customer,37,Business travel,Business,2619,2,1,2,1,2,2,5,5,4,3,5,5,5,5,0,14.0,satisfied
8456694,96296,Male,Loyal Customer,62,Business travel,Business,3645,4,4,4,2,2,5,5,5,5,5,5,5,5,3,65,48.0,satisfied
4700681,18344,Female,Loyal Customer,55,Personal Travel,Eco,280,2,5,2,4,4,2,4,4,2,2,2,1,2,4,0,0.0,neutral or dissatisfied
16486495,94616,Female,Loyal Customer,39,Business travel,Eco,425,3,3,3,2,3,3,4,3,1,5,1,4,2,3,0,0.0,satisfied
248198,68674,Male,Loyal Customer,59,Business travel,Business,2060,3,4,3,3,4,4,4,4,3,4,4,5,5,4,13,11.0,satisfied
3027016,50149,Male,Loyal Customer,7,Personal Travel,Eco,515,0,5,0,3,2,0,2,2,3,2,5,2,4,3,0,0.0,satisfied
7630597,16104,Female,Loyal Customer,54,Business travel,Business,2127,1,4,0,1,5,4,4,1,1,1,1,4,1,5,0,0.0,satisfied
11225585,91656,Female,Loyal Customer,29,Business travel,Business,3089,4,4,5,5,2,5,5,4,4,3,4,3,4,4,81,82.0,satisfied
1713737,85595,Female,Loyal Customer,59,Personal Travel,Eco,285,5,5,5,5,1,4,1,1,1,5,1,5,1,1,13,0.0,satisfied
10009482,93923,Female,Loyal Customer,32,Business travel,Business,836,3,5,5,5,3,3,3,4,2,3,2,5,2,3,9,31.0,neutral or dissatisfied
14014870,120409,Female,disloyal Customer,31,Business travel,Business,427,4,3,4,3,3,4,3,1,1,3,1,1,1,3,14,0.0,neutral or dissatisfied
15907459,21812,Male,Loyal Customer,22,Business travel,Business,1473,2,3,3,3,2,4,2,2,1,1,1,2,4,4,0,39.0,neutral or dissatisfied
8109211,34834,Female,Loyal Customer,39,Business travel,Business,116,4,4,4,4,1,4,5,4,4,2,5,3,4,4,0,13.0,satisfied
11606049,83006,Female,Loyal Customer,24,Personal Travel,Eco,327,1,4,1,1,1,1,2,1,5,1,5,3,5,1,0,0.0,neutral or dissatisfied
9418159,96186,Male,Loyal Customer,48,Business travel,Business,579,3,5,5,2,3,5,2,3,3,3,3,3,3,3,3,0.0,satisfied
13602866,88168,Female,Loyal Customer,55,Personal Travel,Eco,378,1,1,1,1,5,1,4,4,4,4,4,5,4,5,0,0.0,neutral or dissatisfied
520156,20657,Male,Loyal Customer,26,Business travel,Eco Plus,354,2,0,5,1,1,2,3,1,4,2,2,2,2,2,0,0.0,neutral or dissatisfied
7225740,82209,Male,Loyal Customer,64,Business travel,Business,2221,5,5,5,5,3,5,4,1,5,5,5,3,5,3,12,0.0,satisfied
8491953,94131,Female,Loyal Customer,54,Personal Travel,Business,301,3,0,3,3,2,3,2,4,3,3,4,3,4,4,0,0.0,neutral or dissatisfied
13545549,49626,Male,Loyal Customer,54,Personal Travel,Eco,323,1,5,1,5,1,1,1,2,4,3,3,3,4,4,11,14.0,neutral or dissatisfied
11940133,29506,Male,disloyal Customer,22,Business travel,Business,1027,2,4,4,2,1,1,1,1,3,5,5,3,4,1,0,0.0,satisfied
13798269,10506,Male,Loyal Customer,28,Personal Travel,Eco,154,1,1,1,1,1,1,1,1,4,3,4,3,4,1,0,0.0,neutral or dissatisfied
4608135,93855,Female,Loyal Customer,59,Personal Travel,Eco,554,2,3,3,3,2,3,2,2,3,1,3,4,3,2,0,13.0,neutral or dissatisfied
5214804,122459,Male,Loyal Customer,73,Personal Travel,Business,319,2,4,5,4,2,2,2,2,1,3,3,2,3,2,5,0.0,neutral or dissatisfied
9812295,124253,Male,disloyal Customer,25,Business travel,Eco,348,1,2,4,4,4,1,1,4,4,1,4,3,4,4,17,0.0,neutral or dissatisfied
11408466,89094,Female,Loyal Customer,57,Business travel,Eco Plus,1861,3,3,3,5,3,3,3,3,4,4,4,4,4,3,0,0.0,satisfied
16397071,2903,Female,Loyal Customer,12,Personal Travel,Eco,358,1,1,1,2,4,1,1,4,3,4,4,4,4,4,5,0.0,neutral or dissatisfied
262138,85802,Female,disloyal Customer,25,Business travel,Eco,326,1,5,1,2,5,2,4,4,4,1,5,5,5,5,17,3.0,neutral or dissatisfied
10921559,44196,Male,Loyal Customer,32,Business travel,Eco Plus,685,2,2,0,3,4,2,4,4,1,1,3,3,3,4,12,196.0,neutral or dissatisfied
11636092,52860,Female,Loyal Customer,18,Personal Travel,Eco,201,4,4,4,4,4,4,5,4,5,5,4,3,4,4,2,0.0,neutral or dissatisfied
9882768,117918,Female,disloyal Customer,36,Business travel,Business,1282,3,3,3,3,4,4,4,1,4,3,3,2,4,4,15,12.0,neutral or dissatisfied
3765399,82322,Male,Loyal Customer,25,Business travel,Eco Plus,409,2,1,3,2,3,2,3,3,2,2,2,4,3,3,4,0.0,neutral or dissatisfied
2674312,72054,Female,Loyal Customer,51,Business travel,Eco,441,4,4,4,2,1,4,3,1,5,5,1,0,5,3,0,0.0,neutral or dissatisfied
9863602,72279,Male,Loyal Customer,57,Business travel,Eco,542,3,3,3,3,3,5,1,4,4,5,4,5,4,3,1,0.0,satisfied
16604455,118308,Male,Loyal Customer,44,Business travel,Business,2257,4,4,4,4,4,4,4,4,4,4,4,3,4,4,0,4.0,satisfied
11566541,83306,Male,Loyal Customer,50,Business travel,Business,2287,4,3,4,3,3,4,5,4,4,4,4,5,4,3,16,0.0,satisfied
13774302,66416,Female,Loyal Customer,44,Personal Travel,Business,2428,3,4,4,4,3,4,3,3,5,2,5,4,5,3,1,2.0,neutral or dissatisfied
15973855,126764,Female,disloyal Customer,21,Business travel,Eco Plus,252,1,0,1,3,2,1,2,4,4,1,3,1,5,4,11,25.0,neutral or dissatisfied
11658484,101789,Female,Loyal Customer,25,Business travel,Business,338,3,2,1,2,3,2,3,3,3,4,3,2,3,3,0,0.0,neutral or dissatisfied
5415822,32002,Male,Loyal Customer,34,Business travel,Eco Plus,2146,2,3,2,2,3,2,3,3,2,4,2,2,3,3,14,0.0,neutral or dissatisfied
7355284,88786,Male,Loyal Customer,59,Business travel,Business,3391,3,3,3,3,5,3,5,5,5,5,4,4,5,5,0,0.0,satisfied
7915619,47591,Male,Loyal Customer,59,Business travel,Business,2803,3,3,3,3,2,4,2,2,4,1,2,2,2,2,62,14.0,satisfied
8389146,12603,Female,Loyal Customer,58,Business travel,Eco Plus,2210,3,5,5,5,3,3,3,3,2,2,2,1,2,3,0,0.0,neutral or dissatisfied
316193,20293,Male,Loyal Customer,43,Business travel,Eco,256,3,3,3,3,3,3,4,3,4,1,4,3,4,3,3,0.0,satisfied
8919716,37240,Female,Loyal Customer,60,Business travel,Eco,237,2,1,2,1,5,2,5,5,3,1,3,4,1,5,8,3.0,neutral or dissatisfied
6172598,53142,Male,disloyal Customer,31,Business travel,Eco Plus,399,4,3,2,2,5,2,2,4,4,4,4,2,4,2,3,0.0,satisfied
1267261,92178,Female,Loyal Customer,7,Personal Travel,Eco,1007,2,4,1,3,2,0,2,2,5,2,3,5,5,2,15,42.0,neutral or dissatisfied
3098654,47429,Male,Loyal Customer,57,Business travel,Eco,397,4,4,1,3,2,5,5,5,5,5,5,5,5,5,1,0.0,satisfied
13950331,115159,Male,disloyal Customer,38,Business travel,Eco Plus,422,3,1,5,3,3,2,1,3,3,2,3,3,3,2,0,0.0,neutral or dissatisfied
9425228,120268,Female,Loyal Customer,60,Business travel,Business,267,1,5,1,5,2,1,5,5,5,5,5,4,5,5,91,139.0,neutral or dissatisfied
9328830,37516,Female,Loyal Customer,50,Business travel,Eco Plus,240,4,4,4,4,4,4,1,4,4,3,4,2,4,4,0,0.0,satisfied
14983110,36155,Female,Loyal Customer,32,Business travel,Business,2590,2,2,2,2,2,2,2,2,1,4,1,4,3,2,14,4.0,neutral or dissatisfied
10630630,125979,Female,Loyal Customer,52,Business travel,Business,2092,2,5,3,5,1,2,5,4,4,4,4,2,4,4,10,,neutral or dissatisfied
11084925,78770,Female,disloyal Customer,52,Business travel,Eco,142,5,5,5,5,2,5,5,2,4,5,4,5,5,4,0,0.0,satisfied
5219953,55413,Female,Loyal Customer,42,Business travel,Eco,194,4,1,4,1,1,4,3,4,4,5,4,1,5,4,4,0.0,satisfied
5765723,64249,Male,disloyal Customer,22,Business travel,Business,396,3,3,3,3,3,3,3,3,2,3,3,4,3,3,0,0.0,neutral or dissatisfied
10594699,5878,Male,disloyal Customer,22,Business travel,Business,558,3,4,3,2,5,5,5,5,5,3,5,5,5,5,61,13.0,neutral or dissatisfied
1771295,124216,Male,Loyal Customer,56,Business travel,Business,1860,4,1,4,1,2,4,1,2,4,4,4,3,4,4,0,0.0,satisfied
7430647,121656,Male,Loyal Customer,51,Personal Travel,Eco,388,3,5,3,3,4,4,5,5,4,1,4,3,4,5,42,93.0,neutral or dissatisfied
541103,90117,Male,Loyal Customer,9,Personal Travel,Eco,926,1,1,1,1,5,1,5,5,5,2,4,5,4,5,2,0.0,neutral or dissatisfied
16073657,81067,Male,Loyal Customer,59,Business travel,Business,2675,4,1,1,3,2,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
5426672,118729,Female,Loyal Customer,13,Business travel,Eco,853,2,5,1,2,2,0,2,2,3,2,4,2,3,2,35,24.0,satisfied
11334372,32663,Male,Loyal Customer,27,Business travel,Eco,500,1,1,1,1,5,4,2,5,1,1,3,1,2,5,21,10.0,neutral or dissatisfied
7936692,42515,Male,disloyal Customer,24,Business travel,Business,370,4,1,5,3,4,4,4,4,3,2,2,2,2,4,5,13.0,satisfied
9068250,129220,Male,Loyal Customer,53,Business travel,Business,3377,5,5,5,5,3,5,4,5,5,5,5,5,5,3,10,1.0,satisfied
13347001,20339,Female,Loyal Customer,25,Business travel,Business,2349,2,2,2,3,2,2,2,2,3,4,3,4,4,2,0,0.0,neutral or dissatisfied
13182087,6557,Female,Loyal Customer,67,Business travel,Business,1516,5,4,4,4,4,5,3,4,4,5,5,3,5,3,0,0.0,satisfied
14366600,29637,Male,disloyal Customer,24,Business travel,Eco Plus,689,1,1,1,3,2,1,2,2,2,3,3,2,2,2,0,0.0,neutral or dissatisfied
9705800,102884,Male,Loyal Customer,35,Business travel,Business,2509,5,5,5,5,2,5,5,4,4,4,4,5,5,3,3,3.0,satisfied
1576254,84589,Female,Loyal Customer,43,Business travel,Business,1313,0,1,0,1,0,2,1,1,3,4,4,2,3,4,0,0.0,satisfied
8840577,19942,Female,Loyal Customer,55,Business travel,Eco,267,2,5,2,5,3,2,3,2,2,1,2,1,2,4,0,0.0,neutral or dissatisfied
3998672,120952,Female,Loyal Customer,11,Personal Travel,Eco,717,2,5,1,2,4,2,2,5,4,5,5,5,5,5,0,13.0,neutral or dissatisfied
5983886,37039,Female,Loyal Customer,45,Personal Travel,Eco,348,1,1,1,3,5,1,5,5,2,1,2,1,1,5,0,0.0,neutral or dissatisfied
13348628,76150,Female,disloyal Customer,22,Business travel,Eco,1120,1,1,1,1,3,2,4,2,1,2,1,1,2,4,15,0.0,neutral or dissatisfied
13392810,79823,Female,Loyal Customer,44,Business travel,Business,2424,3,1,3,1,2,3,2,5,4,5,4,5,5,5,13,0.0,satisfied
9395359,53329,Male,Loyal Customer,25,Business travel,Business,701,5,1,1,1,5,4,5,5,3,4,4,3,4,5,0,0.0,satisfied
15727257,71840,Female,Loyal Customer,56,Personal Travel,Business,925,2,1,2,1,4,5,4,4,4,1,4,4,4,4,5,0.0,satisfied
8062076,110192,Female,Loyal Customer,63,Business travel,Business,318,3,3,3,3,4,3,4,4,4,2,4,4,4,4,11,14.0,neutral or dissatisfied
14017527,82099,Male,Loyal Customer,48,Business travel,Business,255,3,4,3,3,3,3,3,3,4,1,4,3,4,3,2,0.0,neutral or dissatisfied
9000013,124882,Female,Loyal Customer,43,Personal Travel,Business,995,3,4,4,5,2,4,2,2,1,3,1,3,3,2,0,14.0,neutral or dissatisfied
11420656,45527,Male,disloyal Customer,21,Business travel,Business,2226,2,2,2,2,4,2,4,4,4,2,4,3,5,4,0,0.0,neutral or dissatisfied
2239337,85853,Female,Loyal Customer,62,Personal Travel,Eco,411,1,5,1,3,4,1,4,4,1,5,3,4,4,4,0,0.0,neutral or dissatisfied
15766082,94820,Female,Loyal Customer,65,Personal Travel,Eco,1154,4,4,4,4,1,2,1,4,3,5,4,3,4,4,15,34.0,neutral or dissatisfied
1617584,78928,Male,Loyal Customer,21,Personal Travel,Eco,913,1,5,3,3,1,1,1,1,3,5,3,4,3,1,18,99.0,neutral or dissatisfied
4639286,7979,Male,Loyal Customer,23,Business travel,Eco,324,2,2,2,1,1,2,1,1,1,1,1,3,1,1,17,0.0,neutral or dissatisfied
7308074,95195,Female,Loyal Customer,58,Business travel,Eco,1529,4,4,4,1,3,4,5,4,4,4,4,5,4,3,0,4.0,satisfied
5401386,24811,Female,disloyal Customer,28,Business travel,Eco Plus,322,5,0,1,3,5,4,5,5,5,5,5,5,5,5,51,72.0,satisfied
4400442,49572,Female,Loyal Customer,55,Personal Travel,Eco,279,4,4,0,3,2,0,2,2,4,2,1,3,1,3,3,0.0,neutral or dissatisfied
6293077,84530,Male,Loyal Customer,24,Business travel,Business,1052,3,1,3,5,4,3,4,4,4,2,4,4,4,4,0,0.0,neutral or dissatisfied
7210644,77821,Female,Loyal Customer,57,Business travel,Eco Plus,31,0,4,0,4,0,0,4,4,4,4,4,4,4,4,0,5.0,satisfied
3651911,101328,Female,Loyal Customer,43,Personal Travel,Eco,565,4,4,5,5,4,4,5,3,3,4,3,5,5,4,9,11.0,neutral or dissatisfied
8063631,95355,Female,Loyal Customer,25,Business travel,Business,2535,2,3,2,3,2,2,2,2,2,5,3,2,4,2,8,25.0,neutral or dissatisfied
14602892,49668,Female,Loyal Customer,10,Personal Travel,Eco,242,1,5,1,1,2,1,2,2,5,3,5,5,5,2,2,14.0,neutral or dissatisfied
9973246,12896,Male,disloyal Customer,46,Business travel,Business,1364,3,3,2,3,3,2,3,3,1,1,3,1,3,3,4,0.0,neutral or dissatisfied
15397518,5516,Female,Loyal Customer,42,Business travel,Business,2537,3,1,1,2,1,2,1,1,3,5,5,2,4,1,0,0.0,satisfied
7613538,56242,Male,Loyal Customer,58,Business travel,Business,3185,5,5,5,5,3,5,3,3,5,5,5,5,5,3,10,1.0,satisfied
10462174,38152,Male,Loyal Customer,57,Business travel,Eco,2590,4,4,0,1,2,0,2,2,4,5,5,5,2,2,4,0.0,satisfied
3629990,33780,Male,Loyal Customer,25,Business travel,Business,68,0,0,0,1,5,0,3,2,4,1,5,5,3,4,14,63.0,satisfied
4649213,100718,Female,Loyal Customer,55,Business travel,Business,428,3,3,3,3,3,4,3,3,1,5,5,3,1,3,6,0.0,neutral or dissatisfied
10099302,92935,Female,Loyal Customer,29,Business travel,Business,1263,2,2,2,2,2,2,4,4,4,5,4,3,4,4,0,0.0,neutral or dissatisfied
11489935,73132,Male,Loyal Customer,54,Personal Travel,Eco,1155,3,3,3,3,3,4,4,3,3,3,5,5,3,4,75,44.0,neutral or dissatisfied
3987197,64456,Male,Loyal Customer,24,Personal Travel,Eco Plus,711,3,4,2,4,3,2,2,3,3,3,3,5,3,5,0,10.0,neutral or dissatisfied
11636962,99600,Female,Loyal Customer,48,Personal Travel,Eco,855,4,4,4,3,5,4,5,5,5,5,5,5,5,5,17,24.0,neutral or dissatisfied
16738532,11480,Female,Loyal Customer,32,Personal Travel,Business,224,2,2,2,2,1,5,1,5,5,5,5,5,5,5,0,0.0,satisfied
8848535,54555,Male,Loyal Customer,62,Business travel,Business,2082,4,4,0,3,4,4,4,4,3,5,5,3,3,4,17,14.0,satisfied
8433413,54196,Male,Loyal Customer,67,Business travel,Business,520,5,5,5,5,5,5,3,2,3,2,5,4,5,3,0,4.0,satisfied
5705083,74471,Female,Loyal Customer,54,Business travel,Business,1191,4,2,4,2,3,5,3,3,1,3,3,5,5,3,2,0.0,satisfied
16564354,93269,Male,Loyal Customer,7,Business travel,Eco,217,1,1,1,3,3,1,2,4,1,3,4,3,4,4,0,0.0,neutral or dissatisfied
14333997,51066,Male,Loyal Customer,37,Business travel,Eco,804,4,4,4,3,2,5,5,5,2,2,5,5,5,5,53,49.0,satisfied
11940360,122930,Female,Loyal Customer,12,Personal Travel,Eco,1348,1,4,1,1,5,4,5,1,1,1,1,5,1,4,10,40.0,neutral or dissatisfied
7585467,52923,Male,Loyal Customer,53,Personal Travel,Eco,241,1,5,1,5,5,1,4,5,3,1,2,1,4,5,21,3.0,neutral or dissatisfied
7617912,119475,Female,Loyal Customer,58,Business travel,Business,2229,3,3,5,2,4,4,4,4,4,1,4,3,3,4,37,16.0,neutral or dissatisfied
3885728,22700,Male,Loyal Customer,16,Personal Travel,Eco,294,1,1,1,3,4,1,4,4,4,5,4,1,3,4,0,0.0,neutral or dissatisfied
314767,49243,Male,Loyal Customer,57,Personal Travel,Eco,423,2,4,2,3,5,2,4,5,1,5,3,2,4,3,3,4.0,neutral or dissatisfied
9609445,84295,Female,Loyal Customer,25,Business travel,Eco Plus,2394,1,3,3,4,3,3,1,1,1,5,3,1,3,4,16,16.0,neutral or dissatisfied
8811297,27350,Male,Loyal Customer,55,Business travel,Business,2399,2,2,2,2,2,4,5,4,4,5,5,4,5,4,0,11.0,satisfied
10160387,41544,Female,Loyal Customer,49,Business travel,Business,224,0,0,0,3,2,0,4,5,5,5,5,3,5,3,2,3.0,satisfied
9472533,51477,Male,Loyal Customer,41,Business travel,Eco,188,4,1,0,2,4,4,4,4,4,4,5,5,4,4,0,0.0,satisfied
14513796,92624,Male,Loyal Customer,21,Business travel,Eco Plus,1062,5,1,1,1,4,5,5,4,3,3,4,5,3,3,0,4.0,satisfied
3083699,124802,Female,disloyal Customer,20,Business travel,Business,645,2,0,2,1,3,2,5,3,4,4,4,5,4,3,0,0.0,neutral or dissatisfied
15799387,91923,Female,Loyal Customer,48,Personal Travel,Eco Plus,261,5,5,2,3,4,5,5,5,5,5,5,5,5,5,42,54.0,satisfied
14716281,113486,Male,disloyal Customer,37,Business travel,Business,341,1,0,1,4,3,2,4,3,3,1,3,3,4,3,0,0.0,satisfied
1600465,44444,Male,Loyal Customer,73,Business travel,Eco Plus,1051,3,1,2,3,3,2,3,3,3,5,3,1,3,3,4,0.0,neutral or dissatisfied
15076903,121180,Female,Loyal Customer,11,Personal Travel,Eco,459,2,4,3,3,2,2,4,4,4,4,5,5,4,4,0,0.0,neutral or dissatisfied
16716326,93315,Male,Loyal Customer,31,Business travel,Business,308,4,5,4,5,2,4,2,2,4,1,2,3,5,2,0,0.0,neutral or dissatisfied
897160,17280,Female,Loyal Customer,55,Personal Travel,Eco Plus,556,2,3,2,2,3,4,3,3,2,3,3,2,3,3,16,15.0,neutral or dissatisfied
15767480,7137,Female,Loyal Customer,9,Personal Travel,Eco,185,3,4,3,3,3,1,1,4,4,5,4,1,4,1,219,230.0,neutral or dissatisfied
4339554,7771,Female,disloyal Customer,32,Business travel,Eco,531,1,0,4,3,4,3,3,1,1,1,1,4,1,1,71,52.0,neutral or dissatisfied
7974462,3840,Female,Loyal Customer,63,Business travel,Business,3066,5,5,5,5,5,5,5,5,4,4,5,3,1,5,13,35.0,satisfied
5323999,113849,Female,Loyal Customer,21,Personal Travel,Eco Plus,1035,3,5,4,3,3,5,5,3,3,2,3,5,4,5,14,22.0,neutral or dissatisfied
7621284,32438,Male,Loyal Customer,59,Business travel,Business,57,5,5,5,5,5,5,5,2,1,4,2,3,2,5,17,17.0,satisfied
935793,8211,Female,disloyal Customer,31,Business travel,Eco,1149,3,1,3,3,3,3,3,3,3,2,3,5,3,3,13,40.0,neutral or dissatisfied
13909407,84126,Female,Loyal Customer,40,Business travel,Business,3449,5,5,5,5,2,5,2,5,5,5,5,5,5,3,3,0.0,satisfied
2308140,75775,Female,Loyal Customer,47,Personal Travel,Eco,370,1,1,1,1,3,3,3,3,3,5,2,4,1,3,0,0.0,neutral or dissatisfied
13487455,46915,Male,Loyal Customer,30,Personal Travel,Eco,171,1,4,1,4,1,1,1,1,1,1,3,4,1,1,83,156.0,neutral or dissatisfied
8652428,121573,Male,Loyal Customer,15,Personal Travel,Eco,1052,3,3,3,3,4,4,4,4,1,1,3,2,4,4,14,47.0,neutral or dissatisfied
473834,19042,Male,Loyal Customer,46,Personal Travel,Eco,1383,2,2,2,4,5,2,5,5,4,5,5,4,5,5,0,0.0,neutral or dissatisfied
3584827,42973,Male,Loyal Customer,41,Business travel,Eco Plus,190,5,5,5,5,5,5,5,5,2,5,2,1,4,5,12,29.0,satisfied
2354414,44927,Female,Loyal Customer,17,Business travel,Eco,134,4,4,4,4,2,4,2,4,4,1,4,3,4,3,0,0.0,satisfied
6609986,124243,Female,Loyal Customer,47,Business travel,Business,2283,4,4,3,3,2,2,2,2,1,5,4,3,5,2,0,0.0,neutral or dissatisfied
10081825,41299,Female,disloyal Customer,15,Business travel,Business,1220,3,1,3,1,3,3,3,3,1,5,3,3,3,3,27,35.0,neutral or dissatisfied
3125526,97034,Female,Loyal Customer,56,Business travel,Business,1867,3,3,3,5,4,4,3,3,5,2,2,3,5,4,12,0.0,satisfied
11880938,93040,Male,Loyal Customer,47,Business travel,Business,2088,5,5,5,5,5,4,1,4,4,5,5,4,4,4,0,0.0,satisfied
8449485,69096,Male,Loyal Customer,39,Business travel,Eco Plus,2590,4,4,4,4,4,4,5,5,4,5,5,4,5,4,9,7.0,satisfied
2422582,32408,Male,Loyal Customer,50,Business travel,Eco Plus,2431,4,5,5,5,4,4,4,4,5,5,4,3,5,4,0,0.0,satisfied
11654672,91415,Female,Loyal Customer,59,Business travel,Business,1836,4,4,4,4,2,4,5,5,5,5,5,3,5,5,16,15.0,satisfied
12323406,77678,Female,Loyal Customer,51,Business travel,Business,2372,2,4,4,3,2,4,2,2,1,3,3,1,3,2,4,8.0,neutral or dissatisfied
1960281,126405,Female,Loyal Customer,51,Business travel,Business,374,4,1,3,1,2,4,5,4,4,2,4,2,4,4,0,0.0,neutral or dissatisfied
15360430,91712,Female,Loyal Customer,51,Personal Travel,Eco Plus,213,2,2,2,2,3,4,3,3,3,3,3,4,3,3,13,41.0,neutral or dissatisfied
8652467,93315,Female,disloyal Customer,20,Business travel,Business,1195,1,2,1,3,5,3,2,3,3,1,3,4,3,4,81,105.0,neutral or dissatisfied
14309698,97576,Female,Loyal Customer,17,Personal Travel,Eco,399,3,5,3,3,4,3,4,5,5,5,5,5,5,3,17,0.0,neutral or dissatisfied
11225165,124695,Male,Loyal Customer,61,Business travel,Business,140,0,0,0,3,2,0,2,2,5,1,2,3,2,2,15,25.0,satisfied
6486390,87829,Female,Loyal Customer,60,Business travel,Business,2418,4,2,2,2,1,3,1,1,4,3,4,1,4,4,0,0.0,satisfied
4580997,124724,Female,Loyal Customer,14,Personal Travel,Eco,1289,1,1,1,1,2,4,4,5,3,4,4,4,4,4,0,0.0,neutral or dissatisfied
